P02787	T3D0240
P05067	T3D0007
Q15759	T3D0007 T3D0371
P31749	T3D3755
Q92731	T3D0240 T3D0007 T3D3755 T3D0805 T3D0371
Q16659	T3D0007 T3D0371
P19838	T3D3755
P23025	T3D0007
P03372	T3D0240 T3D0007 T3D3755 T3D0805 T3D0371
P10275	T3D0240 T3D0805 T3D0371
P67870	T3D3755
Q05397	T3D3755
P45984	T3D0007 T3D0371
P05412	T3D3755
