GO:0043005	P05067 P41220 P10909 P10276 P25054 Q12929 P25445 P03372 P15056 P29972 Q5S007 Q9UER7 P60953 P12931 P49768 Q9NRD5 P31645 Q9NYA1 P27816 P21579 P62158 P08670 Q9UQF2 P35222
GO:0030424	P05067 P29972 P42858 Q5S007 Q8WX93 P49768 P23471 Q9UQF2 P62258 P25054 Q9NYA1 P49841
GO:0016363	P54253 P09917 Q99684 P17676 Q13573 Q9Y230 Q9Y265 O15265 P23528
GO:0043025	Q99523 P08758 P21333 O43889 P25445 P42858 O00555 P60953 P04114 P10276 P02649 P49768 P23471 P25054 P49841 Q5S007
GO:0005737	P31749 P41220 P54274 Q96CV9 Q9Y4K3 P17655 O43586 Q9NQT4 Q9Y6K9 P03372 P23528 P01040 P49407 P62993 P31946 P14618 P18031 P25445 Q53GG5 P51668 P25963 P78536 Q9Y230 P29074 P53779 Q9UGN5 P60953 Q12772 P07858 O43353 P49137 P61224 Q96MT8 Q12933 P17813 P68104 Q16643 P21579 O00555 P15336 P08670 P37231 Q9Y265 O15265 P17948 P05067 P42229 O43504 P49023 O15382 Q9UQ80 P10276 Q92793 P25054 Q9NPC6 P07359 P55345 P67809 Q14145 P12814 Q9Y3B2 P21333 P42858 Q12929 Q16659 Q9NYJ8 Q9NRR5 P02671 P07948 P12757 O43597 Q53EL6 Q93009 P29972 P10451 P35813 Q9H832 Q9GZQ8 P09493 P31751 Q08379 P61247 P0CG48 Q9HAU4 O43889 Q01844 Q9P2H0 Q969T4 Q03135 Q8WTV0 P84022 Q9NRD5 O60493 P41222 P10809 P08631 P34897 Q14192 P07947 P60520 P17612 P05771 Q5T5P2 Q13490 P00533 Q16543 Q09472 P04406 P61086 Q16637 Q9HCU4 O75940 P55055 P08238 Q9NYA1 Q9UER7 P19174 Q13404 Q14181 O75376 P35222 P38936 Q13485 P09917 Q8N6T3 Q15382 Q8IUH5 Q92993 P27816 P32121 P21246 P36406 Q9H0A6 Q9UQF2 P02749 P15374 P54253 P02649 Q7L5N1 P08047 P08758 Q04206 P30533 P10909 P04114 P05556 Q07817 Q13137 Q00987 Q15041 P46379 Q9ULC3 Q92905 Q15796 P17676 P63279 Q15942 Q5S007 Q15834 Q15831 P04183 P01019 P50148 Q12983 P12931 P23471 P15056 Q01780 Q9Y3P9 P35638 Q9UMX0 Q04864 P04156 P22694 Q9UI14 Q9BYV2 P62158 Q3KQU3 Q96B02 Q9Y613 P21980 P49841 O94875 P62258 Q9Y490 Q8WX93 P06241 P42574 Q13829
GO:0005791	P05067 P02671 P41222 P49768 P10809
GO:1990909	P25054 P49841 Q5S007 P35222
GO:0030027	P49023 P19174 Q8WX93 P05556 P35222 P23471 O94875 P25054 O75955 O43586
GO:0031965	P67809 P00533 Q99523 P09917 P29972 P04406 P50148 P41222 Q07817 P50402 P49792 P25054 P49768
GO:0031966	Q99942 Q5S007 P10909 Q12983 Q07817 Q9UQF2 O43678 P07948
GO:0030659	P49407 Q96AW1 P31946 P42858 Q9UHC9 Q9Y328 P62258 Q8IUH5
GO:0000790	O75376 P05412 P08047 Q96KQ7 P17676 O96019 P03372 P10276 Q92793 Q9Y294 Q15796 Q13485 O60341 P84022 Q8TAQ2
GO:0016604	Q93009 Q99684 P63279 Q92793 O43889
GO:0014069	P32121 P49407 P42858 Q12929 P12931 Q9NRD5 P06241 P07948
GO:0009898	Q12933 P29074 Q9Y4K3 Q13490 P41220
GO:0005911	P05067 P12814 P62993 P31749 Q16643 P19174 P60953 P05556 O43561 Q9Y490 P35222 P23528 P61224 P13612
GO:0010008	O60493 Q99523 P0CG48 P61077 P00533 P01130 Q9Y4K3 Q9NYJ8 P04114 Q9ULC3 P31645
GO:0042995	P08758 P08631 P05556 Q9NQC3 P25054 P17612 P05106 P10451 P49407 Q12929 O43597 O94875 Q5S007 P19174 P60953 P12814 P23528 Q8NEC5 Q16643 O00555 O43586 Q8WX93 P08670 Q9P2H0 Q9Y490 Q9Y613
GO:0032587	Q9Y490 P68104 Q12929 P06756 P31751 P12931 P05556 P23471 P25054 P09493 P23528 O43597 P05106
GO:0097481	P27816 P53779 Q12983 Q13555 P49841 Q9NQC3 Q8N6T3 Q9NRD5
GO:0043234	P10809 P51668 Q9Y4K3 P10909 Q92793 Q9Y294 P25054 Q00987 Q13490 P31946 P21333 P42858 Q15796 P03372 P25963 P12757 O60341 Q13404 O96019 Q04206 P35222 Q8TAQ2 Q03135 O43353 Q12933 Q9UMX0 P49841 P49768 P84022
GO:0042470	P31946 P08238 P30101 P05556 O75955 P62258 P07858 P49755 P61020 P05106
GO:0033256	Q04864 Q04206 P25963
GO:0032993	P35638 P35222 Q15648 P08047
GO:0043198	P05067 P49768 P35222 P49841 P21333
GO:0005829	P09601 P31749 P41220 P51668 Q96CV9 Q9Y4K3 P17655 Q9NQT4 Q9Y6K9 P03372 P49407 P62993 P31946 P14618 P18031 P25445 P20073 P25963 P02792 P53779 Q13404 P60953 Q92569 Q12772 O43353 P49137 P61224 Q96MT8 Q12933 O00555 Q14145 P08670 P37231 P05067 P42229 O43504 P49023 P09493 P25054 P55345 P12814 Q9Y3B2 P21333 P42858 Q16659 Q9NYJ8 Q9NRR5 P07948 P49792 O43597 Q53EL6 Q93009 P35813 Q9GZQ8 Q9NYA1 P61247 P00734 P0CG48 Q9HAU4 O43889 P31645 O43586 P84022 O60493 P10809 P08631 P07947 P60520 P17612 P05771 Q13490 Q16543 P04406 Q16637 P05412 Q15796 P61077 P08238 Q5S007 Q9UER7 P19174 Q04206 P35222 P38936 Q13485 P09917 Q8N6T3 Q15382 P68104 P32121 Q9UQF2 P30556 P13805 P08758 P42677 P02647 P10909 P04114 Q07817 Q15041 Q00987 P46379 P01023 Q99460 Q02543 P63279 Q15831 P04183 P02652 P31751 P12931 Q13555 Q03135 Q9Y3P9 P35638 Q04864 P22694 P62158 P21980 P49841 P49840 P62258 Q9Y490 P15056 P06241 P42574
GO:0045121	P05067 P10809 P05556 P17655 O43561 P07948 Q13491 P00533 Q9HAU4 P25445 Q13490 O75955 O95477 Q5S007 P16284 P49768 P31645 P78536 Q12933 P04156 P49841 Q03135 P42574
GO:0045335	O60493 P18084 Q9ULC3 P06756 O95477
GO:0000812	Q9Y265 Q9Y230 Q92993
GO:0031012	P00734 P02649 P04275 P14618 P35443 Q6UY14 P06858 P02751 P10909
GO:0034684	P18084 P06756
GO:0034683	P05106 P06756
GO:0005667	Q04864 P05412 Q09472 Q15796 Q04206 O75376 P35222 Q92793 Q13485 O60341 P84022 Q92993
GO:0005884	Q14145 P12931 P21333 Q8WX93 P07947 P06241
GO:0071144	Q15796 P84022
GO:0005768	P05067 O60493 Q96AW1 P01130 Q96CV9 P05556 P45844 Q92673 P61020 P00533 P62993 Q13829 P17948 P61077 Q5S007 P31751 Q99523 Q9ULC3 P31645 O75955 Q9H0A6 Q03135 P06241 Q9Y328
GO:0005641	P05067 P09917 Q92673
GO:0071141	Q13485 Q15796 Q13573 P84022
GO:0005938	Q12933 P21333 Q16643 P49023 Q9UER7 Q9Y4K3 P31751 Q12929 P02671 P35222 P25054 Q03135
