R-HSA-4641262	P30153 P67775 P35222 O14641 P25054 Q03135 O15169
R-HSA-5610783	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 Q15008
R-HSA-5610780	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 Q15008
R-HSA-5610785	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 Q15008
R-HSA-5674400	P31749 O15530 P16220 P49840 P38936 Q00987 Q12778
R-HSA-69231	P06400 P0CG48 P0CG47 Q13616 P67775 P38936 P30153
R-HSA-5673001	P00533 Q01082 Q02297 P29353 O60674 P62158 P01112 Q13554 P04626 Q05397
R-HSA-450321	Q15750 P0CG48 P0CG47 O43353 Q9Y6K9 P45983
R-HSA-933542	P05067 Q12933 P19838 P09429 Q00653 Q9Y6K9
R-HSA-5687128	O00487 P05412 P25786 Q99460 Q16659 P0CG47 P62195 P60953 P01106 Q13200 P17980 P0CG48 Q12778 Q15008
R-HSA-180585	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q93034 Q13200 P17980 Q15008
R-HSA-4641257	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 O15169 Q15008
R-HSA-174178	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-1236382	P00533 P27986 P0CG48 P01112 P42336 P0CG47 P19174 P29353
R-HSA-4641258	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 O14641 P17980 Q15008
R-HSA-5658442	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 P01112 Q13200 P20936 P17980 Q15008
R-HSA-195253	O00487 P30153 P25786 P67775 Q99460 P0CG47 P62195 Q13616 Q13200 Q9Y297 P17980 P25054 P0CG48 O15169 Q15008
R-HSA-174084	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
R-HSA-5655291	P42336 P01112 P27986 P19174
R-HSA-6811558	P00533 P27986 P31749 Q02297 P42336 P67775 P04626 P06213 P30153
R-HSA-1445148	P63104 Q04917 P27348 P31749 P31946 P62158 P61981 P54646 P62491
R-HSA-69229	O00487 P0CG48 P25786 Q99460 P0CG47 P62195 Q13200 P17980 Q15008
