GO:0000790	P05412 O60885 Q15796 P03372 P40763 Q92793 P48552 P84022
GO:0030666	P50570 P0CG48 P62979 O00401 P16671 P29474 Q03135 Q00987
GO:0005913	P35579 Q15942 O75955 P35221 P35222 P18206
GO:0016234	P37840 P08238 Q5S007 P54257 P42858
GO:0012506	P16333 Q12933 P62993 Q9UKG1 Q9NQ11
GO:0005886	P31749 P08069 P21802 Q15942 P18827 Q9Y4K3 P16333 Q13642 P07900 P49407 P62993 P25445 P06396 P53779 O75923 P60953 Q15262 Q9UHB6 Q16643 P08670 P38570 P05067 P19634 Q13177 P62979 O00560 P19320 P04792 P04156 Q9Y572 P25116 O00401 P03372 Q99816 P29972 Q03001 P05019 P35579 P0CG48 Q96IZ0 P15311 Q6S5L8 P29474 Q03135 Q96SB4 Q6P0Q8 P84022 P41220 Q13153 Q92731 O75386 P21964 P00533 P29353 P06213 P50570 P20339 P61077 Q5S007 P98160 Q13671 P35222 P35221 P30480 P07384 O43318 P10721 P32121 P62070 P04049 O75955 P17301 P04196 Q00987 P37840 P17706 P52735 Q02952 P11362 P40763 P19174 P12931 P16671 P23508 P18206 P49768 P21796 Q9UMX0 Q13813
GO:0043195	P05067 P37840 Q5S007 P20339 P03372
GO:0030424	P05067 P17301 P28482 P29972 P42858 Q13153 Q03001 Q5S007 Q96IZ0 Q15262 P61812 P37840 P21964 O95295 P62258 P54257 P49768 P20339
GO:0005938	P37840 Q12933 P35579 Q16643 Q03001 P05230 Q14847 P21802 Q9Y4K3 P15311 Q02952 P35222 Q13813 Q03135
GO:0032587	Q13153 P15311 P07900 P50570 P12931
GO:0043234	P62837 P02768 Q9Y478 P51668 P18827 Q9Y4K3 Q92793 Q00987 Q13490 P31946 P42858 Q15796 P06396 P03372 Q13153 P01106 P50570 Q02962 P28482 Q04206 P35222 Q13813 P18206 P49768 P21796 Q12933 Q9UMX0 P35579 P61088 Q06124 O43707 Q03135 P84022
GO:0042470	P63104 P31946 P08238 Q8WUM4 O00560 P62258 O75955 P07900 P20339
GO:0005605	P29400 P98160 P02751 P24043
GO:0005911	P05067 P62993 P31749 Q16643 Q13153 P19174 P60953 P16333 Q15262 P35222 O43707 P35221 P18206 Q5VT25 Q15052 P10721
GO:0043197	P05067 P32121 P49407 P24043 P21964 P35609
GO:0005901	P28482 P29474 Q5S007 P25116 P12931 O75955 P06213 Q03135
GO:0030863	P06753 P15311 P35579 O43707 Q13813
GO:0005768	P05067 P00533 P62993 P61077 Q5S007 O75923 Q99816 P15311 P61812 O75955 P06213 Q03135 P50570 Q9UKG1 P20339
GO:0045121	P05067 Q12933 P19634 P49768 P04156 P00533 P25445 P21796 P15311 P16671 O00560 O75955 Q03135 P18206 Q5S007 O14920 Q13490 P20339
