GO:0035995	Q8WZ42 O15273 P50461
GO:0032092	P49407 Q09472 P08238 Q5S007 O75955 Q03135
GO:0071356	P25445 Q04206 P02452 Q15327 P45984 P19320 O14920
GO:0060048	Q8WZ42 P19237 P19429 P50461 P63316 O15273 P05976
GO:0048661	P17301 P21802 P05412 P29353 P05019 Q9Y4K3
GO:0000209	P62837 Q96EP1 P0CG48 P61077 P51668 P62979 Q9Y4K3 Q13490
GO:0014070	P17301 P19634 P05412 P29353 Q92731 P05019 Q04206 P40763 P35221 P21964 P38936 P35222 P06493 Q13490
GO:0006367	P63104 Q9Y478 P31749 P31946 P51668 Q92731 P62979 P03372 P01106 Q92793 Q15796 P0CG48 P62258 P84022 P61077
GO:0071456	P62837 Q9UMX0 P19634 P31749 P29972 P61077 P51668 P25445 P62979 P12931 Q15327 Q92793 P0CG48 Q00987 Q09472
GO:0044267	P05067 P37840 Q9BVA1 P68366 P26641 P29353 P05019 P98160 Q15363 P06396 P63279 P62979 Q14676 Q96SB8 P42766 P49768 Q13813
GO:0016477	P12931 P19634 P06493 Q13177 Q15262 Q13153 P18827 P19174 P52735 P16333 O95863 P61812 Q5VT25 P11362
GO:0009887	P17301 P21802 P28482 P08069 Q9Y4K3 Q04206 P20849 P06213 Q13642 Q09472
GO:2000379	Q9Y572 P62993 Q16539 P16671 P38936
GO:0034097	P05412 P02461 P40763 P25445 Q04206 P35222
GO:2000377	P37840 Q9Y572 O43318 Q13490
GO:0043410	P21802 P05019 P08069 P25445 P25116 P60953 P16671 P35222 P06213 P11362 P10721
GO:0012501	P63104 Q12933 P31749 P31946 Q13177 P55957 P25445 P62979 P06396 Q9Y572 Q13813 P35222 P62258 P0CG48 Q9UKG1 Q13490 P08670
GO:0034146	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 Q16539 P45984 P0CG48 O14920 O43318
GO:0043393	P05067 P12931 P49768 O95295
GO:0034142	P62837 P28482 P62979 P05412 P53779 P61088 P51668 Q15750 Q9Y4K3 Q04206 P15336 Q9Y572 P16671 O43318 Q16539 P45984 P0CG48 O14920 Q13490 P61077
GO:0048011	P21802 P31749 P54257 P62979 Q9Y4K3 Q00987 P35609 P00533 P62993 P31946 P29353 P52735 P11362 P28482 Q07890 P40763 P19174 Q04206 P12931 P38936 O14920 Q15052 P10721 P0CG48 P05230 Q16539 P04049 Q06124 P62258 Q13813
GO:0048010	P21802 P31749 Q13177 Q13153 P62979 P16333 Q13813 P07900 P04792 P35609 P00533 P62993 P31946 P29353 P52735 P11362 P28482 P19174 P60953 P12931 P35221 P10721 P0CG48 P05230 Q16539 P04049 P29474 Q03135
GO:0043254	Q06124 P07900 P14136 P04196
GO:1901215	P37840 Q12933 P31749 P42858 P40763 Q92731 Q5S007 P05019 P03372 P35222
GO:0048015	P00533 P62993 P31749 P08069 P21802 P05230 P05019 P06396 Q06124 P15311 P11362 P38936 Q00987 P10721
GO:0038096	P12931 P28482 P62993 Q13153 P08238 P52735 P19174 P60953 O00401 P16333 P07900
GO:0002755	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 P16671 Q16539 P45984 P0CG48 O14920 O43318
GO:0002756	P62837 P28482 P62979 P05412 P53779 P51668 Q15750 Q9Y4K3 Q04206 P15336 Q9Y572 O43318 Q16539 P45984 P0CG48 O14920 Q13490 P61077
GO:0038095	P62837 P21802 P31749 Q13177 P51668 Q15750 Q9Y4K3 P45984 Q00987 P35609 P00533 P62993 P31946 P61088 P29353 P52735 Q13153 P11362 P28482 P62979 P53779 P19174 Q04206 P38936 P0CG48 O14920 O43318 P10721 P05412 P05230 P04049 Q06124 Q13813
GO:0031648	P37840 P12931 Q96EP1 Q00987 P06396
GO:0007420	P55957 P08069 P42858 P25445 P98160 Q06124 P49768 P54257 P11362 O75386 P32121
GO:0042542	P06493 P29353 P18827 P02452 Q04206 P12931 P05412
GO:0071347	P25445 Q04206 Q96IZ0 Q15327 P45984 P02751
GO:0000122	P21802 P51668 Q92731 P54259 Q9Y4K3 Q15327 Q00987 P37840 Q09472 Q15796 P01106 P63279 P11362 P62979 P61077 P40763 Q04206 P16671 P35222 P49768 P48552 P0CG48 O95863 Q96IZ0 Q99750 P15336 P15311 Q92754 Q03135 P84022 Q92793
GO:0032481	P0CG48 Q09472 P12956 P62979 Q04206 Q9Y572 P35222 Q92793 O14920
GO:0002053	P21802 P01106 P35222 Q9H2X0 P11362
GO:0043154	P37840 Q12933 P49407 P31749 P29972 P32121 P25445 P04049 P12931 Q00987 O75190 Q02962
GO:1900740	P63104 P55957 P31749 P31946 P62258
GO:0097300	Q12933 P0CG48 P25445 P62979 Q9Y572 Q13490
GO:0006461	Q12933 P06493 P25445 Q9Y4K3 O00401 Q92793 O15273 Q00987
GO:0030308	Q15834 P42771 Q92731 P04196 P61812 P38936 Q13642 Q9NXV6 P84022
GO:0016310	P21802 P31749 P08069 Q13177 Q13153 P45984 Q8WZ42 P00533 Q16659 O14920 P06213 P11362 P28482 P06493 P53779 P40763 Q5S007 P12931 Q5VT25 O43318 P10721 P00540 Q16539 P04049 Q9Y572 Q96SB4 Q6P0Q8
GO:0033209	Q12933 P62979 P0CG48 P25445 Q15750 O43318 O14920 Q13490
GO:0043406	P00533 Q5S007 P12931 P49768 P10721 P05230 P11362
GO:0045429	P00533 P31749 P08238 P03372 P06213 P45984 P07900 P50570
GO:0018105	P28482 P06493 Q13177 Q5S007 Q16539 P12931 P31749 Q6P0Q8
GO:0038124	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 P16671 Q16539 P45984 P0CG48 O14920 O43318
GO:0034644	Q09472 Q15262 P01106 Q92793 P45984 P29972
GO:0048617	Q15796 P35222 P84022
GO:0001666	P17301 Q09472 Q13153 O43707 P25445 P05019 P04049 P29353 P61812 Q92793 Q13490 Q03135 P19320 O00151 P84022
GO:0008543	P00533 P28482 P62993 P31749 P31946 P21802 P29353 P05230 P62979 P19174 P04049 Q06124 P12931 Q13813 P11362 P38936 P0CG48 Q00987 P35609 P10721
GO:0046777	P00533 P31749 P08069 Q13177 P00540 Q13153 Q5S007 Q16539 P21802 P12931 Q9Y572 P06213 P11362 P10721
GO:0007049	P33993 P28482 P06493 Q09472 P04156 P41220 O76064 Q8WUM4 P42771 Q96EP1 O00401 P12931 Q99816 Q6K0P9 Q13526 Q14676 P38936 P63279 P17020 Q9UKG1 Q16659
GO:0048146	P00533 P05412 P29972 P05019 P03372 P01106 P02751 P38936
GO:0007254	P62979 P0CG48 P53779 Q15750 Q9Y4K3 Q15052 P45984 O43318
GO:0001701	P21802 P35579 Q15796 Q15750 P19174 P35222 P29474 P84022 P11362
GO:0071375	P12931 Q03135 Q00987 Q04206
GO:0043488	P63104 Q16539 P31749 P31946 P62979 P0CG48 P04792
GO:0003300	Q8WZ42 O15273 P50461
GO:0035872	P05067 P62979 P0CG48 P61088 P08238 Q15750 Q9Y4K3 O14920 O43318
GO:1900034	P28482 Q09472 P08238 Q92793 P62258 P07900 O75190
GO:0031398	P32121 P49407 P51668 Q5S007 Q9Y4K3 Q96EP1 Q03135 Q9UMX0
GO:0031396	P45984 P08238 P07900 Q9UMX0
GO:0002223	P62837 P62979 P0CG48 Q09472 Q13177 P61088 P51668 Q15750 Q9Y4K3 P04049 P12931 Q13153 Q92793 Q04206 O14920 O43318
GO:0008284	P21802 P08069 Q04206 O00560 Q00987 P00533 P29353 P25116 P01106 P61812 P02751 P06213 Q02962 P11362 P28482 P05019 P35222 P07384 O14920 P10721 P05412 P05230 Q6S5L8 P17020
GO:0008285	Q01955 P05019 P05412 P42771 P21802 P40763 Q15796 P04196 P25116 P61812 P04049 Q15262 Q99816 P17706 P35222 P29474 P38936 Q03135 P84022
GO:0008286	P00533 Q9Y478 P62993 P31749 P31946 P21802 P29353 P05230 P62979 P28482 P04049 Q06124 P17706 P11362 P06213 Q13813 P0CG48 P10721 Q9UKG1 P35609 P08069
GO:0070266	Q12933 P0CG48 P25445 P62979 Q9Y572 Q13490
GO:0045740	P00533 P05412 P08069 P29353 P05019 P60953 P06213 P06493
GO:0010939	Q12933 P25445 P62979 P0CG48 Q13490
GO:0008283	P17301 Q01955 P31749 P33993 P40763 P05230 P05019 P04049 P12931 P61812 P35222 Q92793 Q9UKG1 P00533
GO:0071392	P17301 P00533 Q92731 P05019 Q96IZ0 P03372 P48552
GO:0097190	Q07890 P0CG48 P25445 P62979 Q9Y4K3 Q96IZ0 Q9Y572 P62258 Q03135 P52735 Q15052
GO:0009987	P05067 P35222 P62070 P05412
GO:0097191	Q12933 P55957 P25445 P61812 Q9UKG1 P84022
GO:0006974	P33993 P28482 Q16539 P31749 P61077 P61088 O60885 P38936 P15336 P12956 P01106 O76064 Q14676 Q96SB8 Q96LR5 P41218 Q9NXV6 P49768
GO:0002224	P62837 P28482 P62979 P05412 P53779 P61088 P51668 Q15750 Q9Y4K3 Q04206 P15336 Q9Y572 P16671 O43318 Q16539 P45984 P0CG48 O14920 Q13490 P61077
GO:0045595	Q92876 P11362 P35222 Q13490 P04049
GO:0045892	Q15834 P05412 P31946 P12956 O95863 Q15796 P42771 Q9Y4K3 Q04206 P12931 Q15262 Q99816 P63279 P35222 Q00987 O75190 Q02962
GO:0045893	Q92731 Q04206 Q92793 P61457 P45984 Q09472 Q15796 P25116 P03372 P01106 P06213 P50570 Q02962 P28482 P40763 P05019 P02452 P12931 P12956 P35222 O14920 P48552 P05412 O95863 P49768 P84022
GO:0001657	P21802 P18827 P11362 P84022 Q15796
GO:0051092	Q12933 P62979 P0CG48 P61088 Q15750 Q9Y4K3 Q04206 Q9Y572 O14920 O43318
GO:0051091	Q12933 P31749 Q09472 Q92731 Q9Y4K3 P03372 P15336 P35222 P10721
GO:0051090	P28482 P05412 P53779 Q16539 P15336 P45984
GO:0007568	P37840 P31749 P02461 P29353 P25445 P05019 Q04206 P06396 P40763 P05412 P35221 P19320 Q02962
GO:0031623	P37840 P32121 P62993 P15311 P16671 Q03135 P50570
GO:0000423	P62979 P0CG48 Q9H492 P21796
GO:0009725	P31749 P29972 Q92731 P35222 P06213 P28300
GO:0010718	O95863 Q15796 P02452 P61812 P35222 O00560 P84022
GO:0042493	P17301 P33993 P19634 Q92731 Q04206 P21964 P45984 Q00987 P37840 P25445 P61812 P01106 P06493 P29972 P40763 P02452 P12931 P35222 P38936 O14920 P05412 P28300 Q03135
GO:0045944	P05067 P50461 P19634 P31749 P21802 O60885 Q92731 P62979 Q9Y4K3 P16333 Q13526 Q92793 P00533 P49407 Q09472 Q15796 P03372 P01106 Q02962 P40763 P05019 Q04206 P12956 P35222 P0CG48 O14920 P48552 P05412 P05230 Q16539 P04049 P15336 Q92754 P84022 Q15327
GO:0048013	P12931 P35579 Q13153 P52735 P60953 O00401 Q06124 O00560 P19105
GO:0070374	P00533 P49407 P05412 P32121 Q92731 P05230 P25116 P21802 P03372 Q06124 P12931 P16671
GO:0070373	P49407 P17706 P05019 P15311 Q13526 Q03135
GO:0007229	P17301 Q07092 P35579 P12931 P02461 Q15942 Q03001 Q06124 P38570
GO:0048545	P68133 P05019 Q00987 P02452 P28300
GO:0000187	P49407 P62979 P06493 P53779 P00540 P29353 Q5S007 Q15750 P28482 Q9Y4K3 Q06124 P06213 Q16539 P0CG48 O43318 P10721
GO:0000186	P00533 P28482 P62993 P0CG48 P31946 P00540 P29353 P19174 Q5S007 P25116 P21802 P04049 P62979 P05230 Q13813 P49768 P11362 P35609 O43318 P10721
GO:0051384	Q969Q1 P29353 P18827 P05019 P02751 P06213 P38936 Q03135 P25445
GO:0071222	Q16539 Q04206 Q9Y4K3 P12931 P16671 Q15327 P45984 P02751
GO:0034138	P62837 P28482 P62979 P05412 P53779 P51668 Q15750 Q9Y4K3 Q04206 P15336 Q9Y572 O43318 Q16539 P45984 P0CG48 O14920 Q13490 P61077
GO:0055010	P21802 P19429 P63316 P19237
GO:0034134	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 P16671 Q16539 P45984 P0CG48 O14920 O43318
GO:0030032	P16333 P52735 P18206 Q15052 P10721
GO:0030240	Q8WZ42 O15273 P68133
GO:0016236	Q9Y478 P0CG48 Q9H492 P62979 Q9H0R8 P21796
GO:0050860	P15311 P17706 Q96IZ0 P04156
GO:0060020	Q06124 P08670 P28482 P14136
GO:0097193	P63104 P55957 P31749 P31946 P38936 P62258
GO:0050900	P12931 P62993 P29353 P19174 P02452 Q06124 P35579 P02751 Q03135 P08123
GO:0042059	P00533 P62993 P0CG48 P62979 P60953 Q9ULV8 P17706
GO:0032869	P19634 P31749 P08069 Q13153 P05019 P12931 P29353 P06213
GO:0001525	P21802 P35579 P05412 P29353 P05230 Q16539 P98160 P52735 P61812 P02751 P29474 Q03135 P04196 O43318 P11362
GO:0010863	P10721 P11362 P03372
GO:0060355	Q03135 O75955 Q92793
GO:0007050	Q9Y478 P04156 P42771 Q03001 P61812 P01106 Q99816 P38936 P84022
GO:0032355	P55957 P40763 Q92731 Q96IZ0 P02452 P35222 P06213 P03372
GO:0046209	P31749 O00401 P29474 Q03135 P07900 P50570
GO:0001974	P50461 P61812 P05019 Q00987 P29474
GO:0031532	P35579 Q13153 P29353 P15311 Q13813 Q5VT25 P10721
GO:0042981	Q12933 P0CG48 Q13177 P55957 Q13153 P25445 P62979 Q9Y4K3 P03372 P61812 P13693 O43707 P35222 P04049 P35609 Q13490
GO:0070555	P37840 Q969Q1 Q04206 Q9Y4K3 P12931 Q92793
GO:0009636	P28482 P06493 P29353 P18827 O14920 P38936 P45984 Q00987 P25445
GO:0043065	P19634 P31749 Q92731 P04196 P62979 Q9Y4K3 Q8ND90 Q15327 P45984 P37840 P55957 P52735 P50570 Q07890 P41218 P12931 P35222 P05412 Q15052 P0CG48 Q96IZ0 P49768 P25445
GO:0010467	Q9Y478 P31749 P51668 Q92731 P62979 Q92793 P04792 O95149 P31946 Q15796 P25445 P03372 P01106 P42766 P61077 P26641 P63104 P0CG48 Q16539 Q09472 P62258 P84022
GO:0043066	P02768 P19634 P31749 P08069 Q13177 P62979 Q9Y4K3 P13693 Q00987 P04792 Q13490 P37840 P00533 P04156 P42858 P25445 P01106 P02751 Q02962 P06493 P29972 P40763 P05019 Q04206 P12931 P35221 P49768 P38936 P0CG48 O14920 P63104 P05412 P04049 P17020 P84022
GO:0048538	P49768 Q9Y572 P28482 P35222 P04049
GO:0010468	P05067 Q969Q1 Q13153 P25445 P05019 P52735 P01106 Q6S5L8 P35222 Q00987 P04196 P11362
GO:0043589	P17301 P49768 P02452 P08123
GO:0045931	P05067 Q06124 Q00987 P06493
GO:0050852	P62837 P28482 P0CG48 Q13177 P61088 P51668 P62979 P19174 Q9Y4K3 Q04206 P16333 Q13153 P49768 O14920 O43318
GO:0070301	P06493 P29972 P25445 Q04206 Q00987 Q02962
GO:0000278	P33993 Q96EP1 P68366 P06493 Q09472 P42771 P51668 P62979 P38936 P0CG48 P07900 P62258
GO:0032496	P37840 P28482 P05019 P05412 P25445 P25116 Q96IZ0 Q04206 P21964 Q16539 P19320 O14920
GO:0006919	P37840 Q12933 P55957 Q01955 P25445 P25116 P45984 P84022
GO:0045087	P05067 P21802 P31749 Q13177 P51668 Q15750 Q9Y4K3 P16333 Q13526 Q92793 P45984 P07900 Q00987 P35609 Q13490 P61077 Q06124 P62993 P31946 P61088 P29353 P52735 O00401 Q13153 P10721 P11362 P28482 P62979 P53779 P00533 P08238 P19174 P60953 Q04206 P12931 P12956 P01876 P16671 P35222 P38936 P0CG48 P62837 O14920 O43318 Q09472 Q12933 P05412 P05230 Q16539 P04049 P15336 Q9Y572 Q13813 Q96SB4
GO:0006915	P05067 P21802 P31749 Q13177 Q13153 Q8WUM4 P62979 Q9UKG1 Q13490 P55957 P31946 P42858 P25445 P06396 O43318 P28482 Q6NUS6 P06493 P61077 P35222 Q13813 P21796 Q15052 Q09472 P63104 Q12933 P0CG48 Q16539 Q96IZ0 P04049 P08670 Q6S5L8 P62258 P49768
GO:1903071	Q03135 O43765 Q9UMX0
GO:0006464	P62837 P31749 P61077 P61088 Q9Y572 Q99816 P63279 P28300
GO:0038123	P28482 P62979 P05412 P53779 P61088 Q15750 Q9Y4K3 Q04206 P15336 P16671 Q16539 P45984 P0CG48 O14920 O43318
GO:0045471	P06493 P40763 Q92731 P06396 P06213 P19320 Q13490
GO:0051402	P05067 P55957 P42858 P25445 P54259 P49768
