P02768	ALB
Q15714	TSC22D1
Q92530	PSMF1
P35749	MYH11
P52597	HNRNPF
Q9NWB1	RBFOX1
Q86T82	USP37
P53350	PLK1
P25054	APC
P62993	GRB2
Q04724	TLE1
Q14204	DYNC1H1
Q13627	DYRK1A
Q14156	EFR3A
Q9NSB2	KRT84
Q9BRK4	LZTS2
P68400	CSNK2A1
Q9NR09	BIRC6
Q9Y463	DYRK1B
Q86VQ1	GLCCI1
Q9BQ83	SLX1B
Q16531	DDB1
O14641	DVL2
Q16787	LAMA3
P21246	PTN
P63244	RACK1
Q96EB6	SIRT1
P63167	DYNLL1
P49841	GSK3B
P52735	VAV2
O14818	PSMA7
