Q15714	TSC22D1
O43251	RBFOX2
P35749	MYH11
Q9NWB1	RBFOX1
Q92793	CREBBP
P53350	PLK1
P25054	APC
P20618	PSMB1
P62993	GRB2
P25788	PSMA3
Q13627	DYRK1A
Q14156	EFR3A
Q92845	KIFAP3
Q9NSB2	KRT84
Q9BRK4	LZTS2
P68400	CSNK2A1
Q9NR09	BIRC6
Q86VQ1	GLCCI1
Q9BQ83	SLX1B
O14641	DVL2
Q16787	LAMA3
O75665	OFD1
Q16531	DDB1
P05412	JUN
P63244	RACK1
O00472	ELL2
Q96EB6	SIRT1
P63167	DYNLL1
