H00020	P40692 P43246 P35222 P04637
H00022	P06400 P00533 P04637 P01112
H00016	P40763 P00533 P01106 P04637
H00026	P60484 P40692 P35222 P04637
H00027	P42336 P40692 P01106 P43246 P04637
H00042	P06400 P60484 P04637 P00533
H00036	P06400 P01106 P04637
H00055	P00533 P01106 P04637
H00013	P06400 P60484 P01106 P04637
H00031	P06400 P60484 P01106 P04637
H00030	P00533 P01112 P38936
H00048	P06400 P01112 P35222 P04637 P60484 O15169
H00017	P06400 P25054 P04637 P00533
H00032	P01112 P12270 P35222 P04637
