GO:0071363	P31749 P29353 P16220 P35222 P06213 Q00987
GO:0043154	Q12933 P31749 P29972 Q00987 O75190 Q02962
GO:0030512	P62140 P0CG48 O15530 P0CG47 Q96EB6 P62136 Q13526 P04637 Q03135
GO:0007179	P62140 P05412 P0CG47 P16220 Q15750 Q13573 P62136 P01106 Q05397 P04637 P0CG48
GO:0051096	Q04837 Q9NUX5 P43246
GO:0007507	Q02297 Q02750 Q09472 P29353 P63010 P05305 P60484 P35222 Q06330 P04637 Q9UBP5 Q00987 P42574 P78527 O14641
GO:0038123	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0050731	Q02297 P13725 P07947 O60674 Q38SD2 P05556 P04637 O43353
GO:0060396	P40763 P27986 Q05397 O60674
GO:0016055	Q16531 Q04724 P54646 P35222 P49840 O14641 P25054 Q9BRK4 Q13131 P49841 O15169
GO:0070423	Q15750 P0CG48 P0CG47 P21580 O43353 Q9Y6K9
GO:0042176	Q99460 Q13200 Q00987 O14964 P60953
GO:0000715	Q16531 P0CG48 Q92905 P0CG47 Q13620 Q7L5N1
GO:0042177	P00533 Q02297 Q13526 Q8N9N5 Q99497
GO:0043627	Q09472 P10809 Q92731 P35222 P35221 Q03135 P29972
GO:0009725	P04083 P31749 P29972 Q92731 Q14192 O14543 P06213 P35222
GO:0043524	P05412 P10809 P42336 P08238 O60674 P31146 Q13418 P01112 Q13526 P20936 P43246 Q99497
GO:0016568	P06400 P61964 P46379 O43159 O43189 Q13131 P56524 P54646 Q16512 Q9UPT9 Q92769 O43463 Q9NWV8 Q969G3 O60341 Q15047 O60674 Q8N9N5
GO:0043525	P05412 Q00535 P56524 P60953 P15336 P35222 P49840 P04637 Q13526 P42574 P49841
GO:0006921	P08670 P09429 P35222 Q05397 P25054 P42574
GO:0090263	O00487 Q38SD2 P0CG48 O00231 P25786 Q99460 Q5S007 P0CG47 P19838 Q13418 P62195 Q13200 Q13526 P35222 O14641 P17980 P25054 Q03135 O15169 P49841 Q15008
GO:0007249	Q12933 Q15750 P0CG48 P0CG47 P19838 Q00653 Q96EP0 O43353 Q9Y6K9
GO:0038061	O00487 P0CG48 O00231 P25786 Q99460 P0CG47 P19838 Q13616 P62195 Q13200 P17980 Q00653 Q15008
GO:0030335	P00533 P27986 P29972 P01112 O95863 O60674 P31146 Q13418 P05305 P05556 Q05397 P06213 P25054 P02751
GO:0006595	O00487 O00231 P25786 Q99460 P62195 Q13200 P17980 Q15008
GO:0050821	P27986 Q09472 P10809 P16220 Q13526 Q969H0 P60484 P46379 Q99497
GO:2000811	P42336 Q03135 Q04724 Q05397 P05556
GO:0010628	Q15759 Q02750 Q04724 O14964 P01112 Q9UBC3 P19838 P60953 P08670 P35222 P02751 P04637 Q03135 Q13469 Q00987 Q13131 Q06330 Q99497
GO:0070911	Q16531 Q7L5N1 Q92905 P0CG47 Q13620 P23025 P0CG48
GO:0031175	P06400 P05067 P62491 P05556 Q00535 Q13620 Q96FE5 P29353 P60484 P09429 P25054
GO:0071902	P08238 Q02750 P62158 P46940 P67775
GO:0032496	P05412 P10809 O60674 Q92769 P05305 Q9H334 Q00653 O14543 P27361 P42574
GO:0042981	O00487 Q12933 Q02750 P0CG48 O00231 O00746 Q00535 P16220 O60674 P0CG47 P62195 Q13200 P35222 P17980 P04637 Q99460 O43353 P25786 Q15008
GO:0018105	P31749 O15530 Q00535 Q16512 Q5S007 Q13418 Q13554 P49841 P27361 P78527
GO:0032091	Q5S007 P62136 Q13526 Q03135 Q08379 O60341 P49841 Q9UBB9 Q99497
GO:0032092	Q09472 Q00535 P08238 Q5S007 P49841 Q03135
GO:0048661	P05412 P29353 P56524 P05305 Q9H334 P49841
GO:0000209	O00487 Q96EP0 P0CG48 O00231 P25786 Q99460 Q9NZJ0 P0CG47 P62195 Q13200 P17980 O15169 Q15008
GO:0071455	Q03135 Q9UBC3 Q12778
GO:0014070	P04083 P05412 P10809 P29353 Q92731 P35221 P19838 P40763 O14543 P38936 P60484 P35222 P42574
GO:0006367	P63104 Q04917 P27348 P31749 P31946 P10606 Q92731 P0CG47 P54646 Q13573 P61981 P01106 P20674 P0CG48 P04637 O00483 Q13131 Q06330
GO:0071456	Q00987 P31749 P29972 P0CG47 P05305 Q99814 O43463 P04637 P60484 P0CG48 Q96EB6 Q13131 Q09472
GO:0051974	P54274 Q96BK5 P04637 Q9NUX5
GO:0016477	Q02297 O15530 P05556 Q00535 O60674 O75400 P19174 P31146 P16333 O95863 P49841 P25054 Q13469 P60484
GO:0060789	Q92769 P35222 P60953
GO:0006521	O00487 O00231 P25786 Q99460 P62195 Q13200 P17980 Q15008
GO:0032760	O43353 Q92769 P09429 P27986 O60674
GO:0006915	P05067 O00487 P31749 O00231 P60484 P25054 Q9Y6K9 Q96EB6 Q15008 Q04917 P31946 P25786 P01112 Q8WTP8 Q99460 P19838 P21580 P17980 P27361 P46379 Q05397 P27348 P30153 Q00535 P67775 Q13200 P35222 P04637 O43353 Q12778 Q09472 P63104 Q12933 P0CG48 P42574 O60674 P0CG47 P62195 Q13616 P61981 P08670 P09429 O60333 O15169
GO:0007623	P05412 Q09472 P16220 P0CG47 Q13616 Q96EB6 P49841 P0CG48
GO:0034097	P05412 P40763 P31146 Q00653 P35222 O14543
GO:0033077	P25054 P35222 P78527 P04637 P47974
GO:0031000	Q13131 Q92769 P21817 P38405 Q9UBC3
GO:0043410	P09429 P13725 P01112 P60953 Q13418 P05556 P35916 P35222 P06213
GO:0012501	O00487 P31749 O00231 P25054 Q15008 Q04917 P31946 P25786 Q99460 P17980 Q05397 P27348 Q13200 P35222 P04637 P63104 Q12933 P0CG48 P0CG47 P62195 P61981 P08670 P09429 P42574
GO:0034146	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0034142	P0CG48 Q15759 Q15750 P05412 P16220 P0CG47 P19838 Q13616 P15336 Q02750 P27361 O43353 Q9Y6K9 Q00653
GO:0048011	O00487 Q15759 Q02750 P31749 O00231 Q96FE5 P20936 P60484 Q00987 Q15008 P00533 P62993 P31946 P25786 P29353 Q99460 P19838 P63010 P40763 Q92769 P17980 P27361 P46108 Q05397 P42336 P19174 Q13200 P38936 O43353 Q12778 Q02297 P27986 P0CG48 O15530 P16220 O60674 P0CG47 P62158 P62195 P01112 Q13554 P49841 P49840 P42574
