P24539	1246768 602263 568838 568611 568650 724678
O43920	568606
P09669	568606 724678
O95831	602263 1283665 440185 724678
P23396	602263 1283665 23854 1084136 568590 568611 568866 554359
P03372	1045383
P29692	602263 568886 568611 568650
Q06330	568606 440185
Q7Z5K2	602263 440185
P68032	602263 568819
P04899	602263 568611
Q7Z434	568819 568838 554348 440185 568590 554355
Q32P51	602263 1283665 554348 554356
P03923	568838
P30153	602263 568606 568819 568838 440185 568611 724678
P56134	602263 724678
P10606	568606 1283665
P16144	568819 554348 568886 568611 568863 568867 568866 554356
P08238	1246768 602263 1283665 23854 1084136 440185 1045383 568590 554355 724678
Q03001	602263 771931 554359
P55036	602263 568819 568838 568402 440185 1045383 568611 554355
P28331	568838
O60832	602263
Q04864	568819 568838 568886 568611
P35222	1246768 602263 1079863 771931 568611 554359
Q6P1J9	602263
Q92769	602263 568606 568819 23854 568590 568611
Q9Y4F1	602263 440185
P0CG48	1246768 602263 568606 568402 440185 1079863 1045383 568612 568590 568611 568650
Q8N3C7	602263 554355
Q15051	602263 1045383
O43318	568606 1045383 568611
P06748	1246768 602263 568606 23854 554348 1084136 440185 568612 568590 568611 554355 568650 724678
Q00839	1246768 602263 568606 1283665 23854 1084136 440185 568590 568611 554359 568650
P49821	568606
Q16531	602263 568665 1283665 568402 554348 1045383 568611 554359 568650 724678
P35232	602263 1283665 23854 568886 440185 568611 568650 724678
P38432	440185
Q07812	1246768 602263 568402 554348 440185 1045383 771931 568611 554356 724678
P06493	602263 568819 554348 440185 1045383 568611 568650
A0MZ66	440185
O60674	554348
Q9H8Y8	554359
Q7Z7A1	1246768 771931
Q13573	602263 568819 23854
P04049	602263 554348 1045383 568650
Q9H444	554348 568611
P63167	602263 1283665 568402 440185
P54725	1045383 568611 724678
O75955	602263 568838 568611 568650
P62273	602263
Q9BSB4	602263
O95299	602263
Q02878	602263 568819 1084136 568886 568590 568611 568863 569655 568867 568866 554355 568650 724678
P28340	568650
Q9H845	23854
