GO:0000983	Q9UBP5 P61244 P84022
GO:0019904	P63104 Q04917 P27348 P62993 P31946 P62158 P23025 P61981 P16333 O14641 P06213 O15169 Q9Y6K9 Q96EB6 P46940
GO:0001102	P06400 Q12888 P05412 Q09472 P16220 P25791 P15336 P35222 Q92793 Q9UBP5 P84022
GO:0000978	P05412 P40763 P16220 Q15319 Q00653 Q06330 P10275 P01106 Q00059 Q13469 P61244 P84022
GO:0043621	Q8WZ42 O14641 P04637 P21580 O15169
GO:0098505	P54274 Q9NYB0 Q9NUX5
GO:0051721	P29353 Q12778 P31749 P04637
GO:0046332	P84022 P35222 Q92793 Q13573 O15169
GO:0031625	P06400 Q12933 Q96EP0 P10809 P00533 Q969H0 Q13620 P27797 Q93034 O15169 Q99816 Q13616 P04637 P38936 Q9Y6K9 Q00987 Q12778 P63104 P84022 P46379
GO:0047485	P27348 Q02750 P62158 O43463 P04637 Q06330
GO:0031996	Q12933 P62158 P60953
GO:0043559	P27986 P06213 P10809
GO:0042826	P31946 P08238 P56524 Q9UBC3 Q16512 Q9UBP5 P45983
GO:0046982	Q04917 Q99814 P27986 P30153 P10809 P00533 P54274 Q16659 P19838 P15336 Q93034 P04626 P04637 Q03135 Q9Y6K9 P61244 P84022
GO:0004722	P62140 P30153 Q9UQK1 Q15750 P62136 P60484
GO:0043130	P54274 Q99816 Q96EP0 P84022 P21580
GO:0000977	P04637 O95863 P19838 P25791 P15336 O43463 Q92793 P39880 P84022
GO:0005515	Q9Y2S7 P31749 Q6A162 P54274 Q16512 Q8WV44 P38936 P27797 P19838 Q9NPA5 P20674 Q13526 P20936 O43688 Q9Y6K9 P78527 Q8WZ42 Q99814 Q14525 P62993 P36871 P31946 O00422 Q96BK5 P02671 P63010 P35916 Q05397 Q92731 Q6PEX3 Q00535 Q93062 Q9NXR7 Q13200 Q96FE5 O43353 Q12778 O75190 P02787 Q12933 O15530 O95863 P16220 P61981 P62136 P08670 Q9NZD8 O60336 O60333 Q9UBB9 P05067 Q15759 Q9GZZ9 Q15750 Q3SYF9 Q9NWS0 Q13643 O43463 O14543 Q9Y297 P09211 P25054 Q8WTP8 Q96EB6 Q9NYB0 Q15008 P15336 Q04724 Q9UP52 Q9UQK1 Q9NZJ0 Q04837 Q13620 P21580 P05305 Q9NUB1 Q86YC2 Q99816 P49790 O60341 P56524 Q7Z3S9 Q9UM82 Q08AM6 P27348 P21817 P29972 O76031 P42336 P12270 Q8N4B1 P84022 P62140 Q13469 P61244 Q99497 P63104 P27986 P13647 P05412 O43189 P14373 P0CG47 Q02750 P62195 P25791 Q00059 P13196 P16333 Q03135 Q7Z3K3 Q9Y6Z4 O00487 P10809 P40692 Q15637 P23025 Q14192 P07947 Q96EP0 Q9NUX5 P60484 Q96HA1 P61326 Q8N9N5 P06400 P00533 Q09472 P49639 P29353 O14641 Q13418 P02751 P06213 Q6P444 Q06330 P04899 Q12888 P41218 P10606 P08238 Q5S007 P19174 P31146 P35222 Q8IVD9 Q9NWV8 P30153 P0CG48 Q8N6T3 O75553 Q16531 Q8N8B7 P10275 O60674 Q13573 Q04917 Q93034 P36406 O43765 Q08379 Q07002 Q92793 P13805 Q7L5N1 O43159 Q12891 P38159 O75400 Q00653 Q15323 P54646 P04626 Q13616 Q9Y5V3 Q9Y2Q3 Q00987 Q15047 P46379 Q13432 Q01082 P46940 Q92905 Q15120 Q9UPT9 Q9BYR7 P01106 P17980 Q9BRK4 P45983 P49840 Q9H9J2 P40763 Q9UBC3 P67775 P60953 P35221 Q13554 P04637 Q9UBP5 Q99459 Q53GT1 P61964 Q02297 Q15645 P25786 P62158 P60370 P01112 P09429 Q969H0 Q16740 P62491 Q92876 P43246 P42574 Q16659 O15169
GO:0016504	P05067 Q03135 P02751 O76031
GO:0042975	Q9Y6K9 Q00987 Q92793 Q92731
GO:0005102	P05067 Q12933 P10275 O60674 Q03135 P51659 P62195 P05305 P16333 P07947 P02671 Q02297 Q05397 P20936 O43353 Q9Y2Q3 Q99497
GO:0003682	Q16512 Q00653 P10275 O43463 Q92793 P00533 Q04724 Q09472 Q04837 P19838 P49790 O60341 Q06330 P38159 P12270 Q9UBC3 Q00059 P35222 P04637 P56524 Q13469 Q12778 P05412 P25791 P15336 P54646 P39880 P84022
GO:0002039	Q12888 Q00987 Q09472 P10809 Q00535 Q96EB6 Q92793 P04637 O15169 O60341 Q8N9N5
GO:0003684	Q12888 Q16531 Q09472 P23025 P09429 Q92793 P04637 P43246
