GO:0050815	Q13526 P31946 P62258
GO:0008013	Q9UBN7 Q09472 P49023 P03372 P49841 Q13526 Q9UBL3 Q92997 P49768 P84022 O15169
GO:0001085	Q09472 P49841 Q15327 P04637 Q13485 P35222 Q92793
GO:0051539	P49821 O75251 P28331 O75306 Q99798 P78549 P28340 O00217
GO:0051536	P49821 O75251 P23396 P19404 P28331 O75306 Q99798 P78549 P28340 O00217
GO:0048365	P51149 P46940 P21333 Q03135 Q92997 Q13177 P00441
GO:0000977	P19793 P15172 O43707 O43889 Q04206 P19838 P15336 Q92793 P04637 Q13485 P15173 P84022 P08047
GO:0000978	P67809 P05412 P08047 O43889 P40763 Q15796 P42224 Q04206 P03372 P01106 Q00653 P01100 P15172 P16220 Q13485 P12757 Q9UL18 Q06330 P84022 P15173
GO:0046982	P17301 P15172 P10809 P54274 Q14683 Q04206 P05556 O00560 P29590 O14503 Q9Y6K9 P68431 P19793 P22736 Q15796 P19838 P01100 Q16594 P15173 Q9P0L0 P30153 P00533 P02652 P04637 Q13813 Q13485 Q92997 P16104 P12883 P06748 Q03135 P04049 P15336 P84022 P62258 P04626 Q92934
GO:0008022	Q59H18 P54253 P13010 Q9UKV8 Q96CV9 P04626 P35232 P00519 O95619 P08047 Q15554 O00505 Q09472 P36873 Q93009 P27348 Q03001 P98160 P12931 P35222 P31946 O60674 P98082 Q96EB6 P63167 O00560 Q96NL6 O15169
GO:0033613	P05412 Q09472 Q15796 Q04206 Q16594 Q92793 P29692
GO:0048306	P19429 P25815 P23297 P62158 Q99816 P63316 P26447 P17844
GO:0008143	P38919 O00571 O60506 Q93062
GO:0019899	P02768 P68366 P31749 Q92731 P42224 Q04206 Q9UNE7 P35232 P16298 Q00987 P78527 Q8WZ42 P00533 P19793 P31946 P27708 P03372 Q92769 P63279 Q9UBN7 P17844 P50570 P62258 P37840 P40337 Q9P035 P23396 P30086 O75925 P12931 P15880 P04637 Q03135 P09874 P05412 P16104 Q15051 P15172 Q99497 P11021 P32121 P13473 P63244 P16220 P63000 Q96EB6 P63167 P11142 P35222 P00441 P84022 O15169
GO:0031490	P19793 Q09472 P40763 Q04206 P15172 O43707 P84022 P15173
GO:0003954	P49821 O75251 P19404 Q9P0J0 P28331 O75306 Q16795 P17568 O75489 O00217
GO:0001948	P09382 P21333 Q5S007 P11021 P05556 O00560 P07996 P06241
GO:0030544	P06493 P23396 P16220 Q9UNE7 Q96EY1 P46379
GO:0008426	P04792 P31947 P61981
GO:0051087	P02768 Q16543 P04156 P10809 P04637 P11021 O95817 O75190 P00441
GO:0051082	Q16543 P10809 P68371 Q99832 P08238 P11021 O75190 P11142 P07900 Q9Y375 Q96EY1 P06748
GO:0002020	Q8WZ42 O75251 P0CG48 P10809 P42574 P25445 P05556 P02751 P04637 Q92997 P01034
GO:0005080	P31749 P00519 P21333 P63244 P61981 P12931 P04792 Q13501
GO:0032403	P17301 P40939 O00483 P10809 P49023 Q04206 P05556 Q16795 P36873 P19793 Q8NB16 P46940 P21333 Q9UK41 P25445 Q13315 P01106 P03372 P00156 P49792 O95817 P12757 P50570 P31930 P62258 P51970 P12931 P35222 P24941 P21796 P31946 P32121 P01116 O43707 Q9BSB4 Q13813 P06241 P42574 Q9NRI5
GO:0042805	Q8WZ42 P50461 Q04206 P19838
GO:0003690	P67809 P00533 P19793 P05412 P13010 Q15796 P01100 P42224 Q15424 P19838 P09429 P35222 P04637 P16220 P78549 P78527 O43542 P84022 P08047
GO:0042802	P20963 P02649 P31749 Q13177 P54253 Q96CV9 Q9GZT8 P42224 Q04206 P60409 Q14192 P09874 P04049 O00560 P04792 P19474 Q9Y4E8 Q00987 Q9UKG1 P35609 Q8WZ42 P00533 P62993 Q9HAU4 P42858 P04406 P15104 P27708 P19838 P03372 P27105 Q16637 P17661 Q99832 Q8IUH5 P60709 P07996 Q9Y371 P01034 P02792 Q6DD88 Q16740 Q9UJY1 P63104 P37840 P07900 P23297 P40763 P51610 Q5S007 P55036 P60953 Q13501 Q9Y4K3 Q9NRR5 P04637 P26447 Q13485 P23497 Q03135 Q13043 Q99497 P67870 Q9UMX0 P05412 P04156 P16220 Q15109 Q96EB6 P26678 P53355 P84022 Q9BSB4 P04626 P00441 P07195 P25445 Q01844 O15169
GO:0042803	P20963 P02649 P08047 P54274 P42224 Q04206 P43490 O00560 P29590 O14503 Q9Y6K9 Q13137 P35609 Q15554 P12814 P21333 O43889 Q15796 P19838 Q13501 P27105 Q99816 P63316 P12883 Q9Y371 Q99497 Q13162 P07900 P23297 Q03001 Q5S007 P02652 Q13485 P23497 Q13043 P06748 O14558 P35579 P09382 P63244 P55809 P63167 O43707 Q9UNE7 O15169 P84022 P00441
