hf.14	hf.19	hf.21	hf.24	hf.26	hf.27	hf.8	hf.30	hf.32	hf.48
C9J4Z3	H0YC19	P23297	P23327	P09382	P48201	P15259	F5GXK7	A2A3R5	Q5T0H8
F5GXK7	Q96C32	P15259	P13639	P0CJ68	B4DV12	J3QRS3	B4DV12	M0QZ90	P42677
O15239	B4DV12	Q96C32	P10176	H3BR68	O14949	A6NL76	B9A041	H0YC19	P09382
P10176	J3KPS3	A2A3R5	P62891	P15259	F5GXK7	J3QR09	H0YNC7	E5RH03	M0QYX1
B9A041	P0CJ68	M0QZ90	H0YNC7	P46781	E5RH03	M0QZ90	U3KQP3	O15239	P10176
E5RH03	F5GXK7	H0YC19	Q9NPC6	P41222	U3KQP3	P07195	M0QZ90	P63302	J3QR09
M0QYX1	C9JMY1	Q9NPC6	E5RH03	P17568	U3KQH8	P10176	P26678	P26678	E5RH03
H0YL52	M0QYX1	P10176	O15239	H7C068	A2A3R5	Q5PY61	M0QYX1	H0YNC7	H7BZE4
Q9NPC6	J3KNU0	P62891	J3QR09	C9JU56	P63302	P63302	A2A3R5	H3BRM5	O15239
P06576	P09382	J3QR09	P09382	D6R9Z7	P10176	M0QY84	P56385	B9A041	P26678
P0CJ75	P06576	A0A0A0MR13	H0YL52	H0YJJ7	P56385	P01160	Q5T7Y4	P62891	Q96C32
H3BRM5	B9A041	M0QY84	B9A041	P10176	P26678	H0YNC7	P10176	J3QR09	B4DV12
M0QZ90	P62891	P13533	F8WBS5	F8WBS5	P0DMP1	H7BZE4	H0YH81	Q5T7Y4	H3BRM5
H0YH81	Q9UHP9	P63302	P14854	M0QYS1	J3QR09	H3BRM5	E5RH03	P14854	M0QYS1
A2A3R5	P10176	J3QRS3	H3BRM5	A8MUI2	A0A0A0MS51	A2A3R5	H3BRM5	P10176	P63302
P15259	Q16446	F5GXK7	X1WI28	M0QZ90	P09382	A8MUI2	Q9NPC6	H7BZE4	H0YDD8
P09382	U3KQH8	A0A087X2B9	P06858	A0A024R3B9	P42677	Q5T7Y4	P02792	F8WBS5	F8WBS5
P62891	Q01449	P48047	D6RD47	S4R3F9	X1WI28	B4DV12	O15239	P15259	P02792
A0A087X2B9	P42677	P0DMP1	E9PK60	H7C1Q3	B9A041	J3QL01	J3QR09	P42677	P42766
A0A0A0MR13	P63313	J3QL01	H0YH81	K7EMF8	P0CJ75	P42766	P62891	Q9UHP9	B9A041
J3QR09	U3KQP3	P23327	M0QYX1	H3BUK8	O15239	M0R0I6	X1WI28	E9PK60	X1WI28
Q9UHP9	X1WI28	E9PK60	A0A087X2B9	M0R3I5	P46781	H0YHD8	P15259	C9JM61	P15259
F8WBS5	P46777	O43676	P0DMP1	P63220	P62891	B9A041	C9JIZ6	Q9NPC6	P63313
K7EM08	C9JIZ6	C9JM61	P02792	A0A075B6E2	Q9NPC6	H0YL52	P23327	X1WI28	P16860
F8WER5	P14854	P46777	P42677	H0YLP6	Q5T7Y4	P09382	H7BZE4	F8WER5	J3KPS3
P13639	J3QR09	H7C086	M0QYS1	H0YE72	P06576	O43920	P13639	J3QL01	D6RD47
P23327	E5RH03	M0QYX1	P46777	F8W727	E9PK60	Q96C32	P09382	H7C086	G5E9R3
P63302	P63302	P42677	J3QL01	A0A087WTL3	H3BRM5	P17568	M0QYS1	A0A087X2B9	J3QL01
Q99798	H3BRM5	H0YNC7	Q5PY61	E9PH64	Q99798	P10606	M0R1M5	H0YH81	O14558
Q9Y5U8	A0A087X2B9	F8WBS5	E5RIR0	D6R9B6	Q9UHP9	M0QYX1	F8WER5	O43920	E9PK60
H7C086	P46781	J3KPS3	G3V1V8	J3QL01	M0QYS1	H0YDD8	P42677	J3KPS3	P46777
J3QL01	F8WBS5	Q12988	P62269	G5E9R3	H0YHD8	H7C086	Q9UHP9	P02792	A0A087X2B9
E9PK60	P56385	M0QZ43	Q96C32	I3L0M9	P46777	P62891	P63302	P42766	P46781
P48047	M0QYS1	Q9UHP9	Q9UHP9	E9PH38	P23327	F8WBS5	D6RD47	M0QYS1	G3V192
X1WI28	G3V192	P42766	P46781	J3QR09	F8WD96	E9PK60	F8WBS5	P06576	P25398
J3KRK2	H0YDD8	A8MUI2	F5GXK7	H0YEN5	H0YL52	M0R1M5	A0A087X2B9	G3V1V8	M0R1M5
D6RD47	P13639	M0R0I6	C9JIZ6	O15239	A0A087X2B9	P61353	Q99798	P48047	F8W727
M0QYS1	H0YH81	P09382	P15259	H0YN73	F8WBS5	Q9Y5U8	E9PK60	P46777	F8WER5
P46777	E9PK60	H0YHD8	H0YDD8	A8MXZ9	H0YDD8	J3KPS3	K7EM08	D6RD47	H0YN73
P46781	O15239	K7EM08	P42766	V9GYG0	P42766	H0YEN5	P46777	Q9Y5U8	H0YC19
P67809	P42766	Q9Y5U8	Q99798	M0R1H6	Q16654	H9ME53	J3QL01	G5E9R3	A0A075B6E2
C9JIZ6	E9PJK1	F8WER5	Q5T7Y4	G3XAN0	G3V1V8	H0Y9R4	Q6NXQ3	Q9UJY1	F5GXK7
H0YFA4	P08670	Q16654	H7C086	H0YD04	K7EM08	F2Z3P9	H7C086	K7EM08	H0YEN5
H0YN73	F8WD96	P30086	J3KRK2	E9PR30	P01034	P48047	H0YDD8	M0R1M5	K7ERT8
O43676	K7EM08	H0Y9I4	A0A0A0MR13	H7C482	P63313	A0A087X2B9	J3KRK2	P23327	P48047
P20674	P0DMP1	C9JXB8	P63313	P50461	D6RD47	P42677	P42766	P09382	H0Y9V9
