Q15717	ELAVL1
Q8IY34	SLC15A3
O43251	RBFOX2
P52597	HNRNPF
Q15323	KRT31
Q9NWB1	RBFOX1
P25054	APC
Q15654	TRIP6
O14980	XPO1
Q13137	CALCOCO2
Q13490	BIRC2
Q9H0W5	CCDC8
P22681	CBL
Q14156	EFR3A
Q92845	KIFAP3
Q9NSB2	KRT84
Q9BRK4	LZTS2
Q9NR09	BIRC6
P02751	FN1
Q15018	FAM175B
P14923	JUP
P28336	NMBR
Q86VQ1	GLCCI1
Q15262	PTPRK
P35222	CTNNB1
Q99598	TSNAX
Q16787	LAMA3
Q13618	CUL3
P0CG48	UBC
P23258	TUBG1
P08949	NMB
P34741	SDC2
Q96EB6	SIRT1
P63167	DYNLL1
P49841	GSK3B
Q96IK5	GMCL1
P42574	CASP3
P14373	TRIM27
