P22681	hsa05205 hsa05200
P14923	hsa05200
P34741	hsa05205
P35222	hsa05205 hsa05213 hsa05210 hsa05200 hsa04510
P02751	hsa05205 hsa05200 hsa04510
Q16787	hsa05200 hsa04510
P25054	hsa05213 hsa05210 hsa05200
P49841	hsa05213 hsa05210 hsa05200 hsa04510
P42574	hsa05205 hsa05210 hsa05200
Q13490	hsa05200 hsa04510
